Boucher, (Jean-Jacques), Histoire du Loir-et-Cher à travers son Conseil Général de 1790 à nos jours, Paris, Ed. Lanore, Sorlot, 1984, 238 p. C 321;;;;;;;;
Auteurs - Titres - Editeurs - Année;cote;Nb ex sup;année entrée ;Provenance;lieu-personnage;mot clé 1;mot clé 2;
[Collectif], Ensemble funéraire gallo-romain de la Loire moyenne II, 44è suppl.,Tours, FERACF, 2013, 191 p., B 1605;B 1605;;2019;achat;;;;
[Collectif], Le Cher. Histoire et archéologie d'un cours d'eau, 43è suppl., Tours, FERACF, 2013,  326 p., B 1604;B 1604;;2019;achat;;;;
[Collectif], Agglomérations secondaires antiques  de la région Centre, 42è suppl., actes table ronde Orléans 2004, Tours, FERACF, 2012,  187p., B 1603;B 1603;;2019;achat;;;;
[Collectif], Deux ateliers de potiers de la Loire moyenne au Haut-Empire, Vrigny et Amboise, 40è suppl., Tours, FERACF, 2012, 205 p., B 1602;B 1602;;2019;achat;;;;
L'âge de fer dans la boucle de la Loire, Les Gaulois sont dans la ville, 35è suppl., Coll Assoc Fr Etude Age Fer, Bourges 2008, Tours, FERACF, 2009,  p., 434 p., B 1601;B 1601;;2019;achat;;;;
[Collectif], Un complexe princier à l'âge de fer. L'habitatdu promontoire de Bourges (Cher), 32è suppl.,Tours, FERACF, 2007, 200 p., B 1600;B 1600;;2019;achat;;;;
[Collectif], La céramique gallo-romaine entre Loire et Creuse,31è suppl., Tours,FERACF, 2007,  319 p., B 1599;B 1599;;2019;achat;;;;
[Collectif], Ensembles funéraires gallo-roamins de la région Centre, I, suppl. 29, Tours, FERAC, 2006, 205 p.;B 1598;;2019;achat;;;;
[Collectif], Mode de vie et alimentation à la fin du Moyen-Age au château de Blandy-les-Tours,approche pluridisciplinaire des latrines de la salle de l'Auditoire, 28è suppl., Tours, FERACF, 2006,  184p., B 1597;B 1597;;2019;achat;;;;
[Collectif], Capitales éphémères, des capitales de cités perdent leur statut dans l'Antiquité tardive, 25è suppl. Coll mars 2003, UMR CITERES, Tours,FERACF , 2004,  p., B 1596;B 1596;;2019;achat;;;;
[Collectif] Le village celtique des arênes à Levroux, 19è suppl., FERAC-ADEL, Tours, 2000, 333 p., B 1595;B 1595;;2019;achat;;;;
Casanova (Daniel), Les armes de la cavalerie française, Antony, ETAI éd., 2016, 159 p. B 1594 ;B 1594;;2019;don François Penin;fiches techniques évolution - ;collectionneurs;;
[Collectif] Tours en poche, guide pratique de la ville 1997, Tours, Service Communication éd., 1997, 164 p.;B 1593;;2019;;;;;
[Collectif] Monumental Balzac, Petite histoire des monuments au grand écrivain, Tours, MBA, 2019;B 1592;;2019;don MBA Tours;statues - sculpteurs;Sicard - Gaumont;;
Goldman (Philippe) (dir.), Laurent (Xavier) (dir.), Surrault (Jean-Pierre) (dir), Le Berry de la Renaissance, Châteauroux, La Bouinotte éd, 2019, 301 p. B 1591;B 1591;;2019;achat 2019;Centre- Val de Loire;manuscript peinture sculpture;;
Hazlehurst (Franklin Hamilton),  Des jardins d'illusion, Le génie d'André Le Nostre, Paris,  Somogy éd, 2005, 414 p, B 1590 ;B 1590;;2019;don Pasquier;Lignières (Cher);La Ferté Vidamme (Eure-et-Loire);;
Morlet (Marie-Thérèse), Les noms de personne sur le territoire de l'ancienne Gaule, vol. II : les noms de personne contenus dans les noms de lieux, Paris, CNRS, 1985, 560 p. B 1589;B 1589;;2018;don Moreau;histoire;noms de familles noms de lieux;;
Moreau (Véronique), Peintures du XIXè siècle - 1800 - 1914, catalogue raisonné 2 H-Z, Tours, Musée des Beaux Arts, 2002, 362 p., B 1588;B 1588;;2018;don Millet;Azay-le-Ferron;;;
Moreau (Véronique), Peintures du XIXè siècle - 1800 - 1914, catalogue raisonné 1 A-G, Tours, Musée des Beaux Arts, 1999, 362 p., B 1587;B 1587;;2018;don Millet;Azay-le-Ferron;;;
Join-Lambert (Sophie), Peintures Françaises du XVIIIème siècle, Tours, Musée des Beaux Arts, 2008, 445 p., B;B 1586;;2018;don Millet;Azay-le-Ferron;;;
Desjeux (Bernard et Catherine), Prouteau (Bernard), La rivière de Loire, Paris, Nathan, 1984, 124 p., B 1585;B 1585;;2018;don Moreau;Loire;rivière;;
Ramette (Michel), Albert lebrun Président de la République française et les deux conseils des Ministres au château de Cangé (Saint-Avertin 10-14 juin 1940,  2018, 351p. B 1584;B 1584;;2018;don Moreau;;;;
[Collectif], Congrès archéologique de France, 155e session, 1997, Touraine, Paris, Société française d'archéologie, 2003, 385  p. B 1583;B 1583;;2018;don Moreau;Touraine;Monuments;;
Poivet  (Ramon), Pouillot (Gaston), 1993, Jargeau sur la rivière de Loire, Jargeau, Office du tourisme, 1993, 235 p. B 1582;B 1582;;2018;don Moreau;Orléanais;Jargeau;Val de Loire;
Dubreuil-Chambardel (Louis), 1923, La Touraine préhistorique, Paris, libr. Champion, 1923, 143 p. B 1581 ;B 1581;;2018;don Moreau;Touraine;Préhistoire Protohistoire;;
[Anonyme], Maine-et-Loire, Paris, Richesse de France, n 95, 1er trimestre 1973, 155 p., B 1580;B 1580;;2018;don Millet;;patrimoine;;
[Anonyme], L'Indre-et-Loire, Paris, Richesse de France, n 65, 4ème trimestre 1975, 151 p., B 1579;B 1579;;2018;don Moreau;;patrimoine;;
[Collectif], L'Indre, Richesses de France, Bordeaux, C.A.E.L. (J. Delmas et Cie), 1970, 153 p., B 1578;B 1578;;2018;don Millet;;;;
Doyen (Henry), L'écrin de Sinople, Paris, éd. du Mouflon, 1948, 147 p.B 1577;B 1577;;2018;don Leveel;Chinon;;;
[Collectif] Résistance en Touraine - Les maquis en région centre (1943 - 1944, Tours, actes du colloque, 2009, 119 p;B 1576;;2018;achat;;;;
[Collectif] Résistance en Touraine - 1944, Les maquis en région centre, Tours, actes du colloque2008, 79p, B 1575;B 1575;;2018;achat ;;;;
Archier (Edwiige), La table de Peutinger, Provins, de Sançay éd.,1979, 9 cartes, B 1574;B 1574;;2018;don Millet;;;;
Joanne (Adolphe), L'Indre-et-Loire - Au temps des calèches et des moissons, Saintes, Les Chemins de la Mémoire éd,, nd, 136 p, B 1573;B 1573;;2018;don Millet;;;;
Puisais (Jacques), Douceur et tendresse de Loire, Poitiers, l'Araignée éd,, 1999, 95 p, B 1572;B 1572;;2018;don Millet;;;;
Le Leyzour (Philippe), Oger (Danielle), La légende de Saint-Martin au XIXème siécle - Peintures et dessins, MBA, Tours,Somogy éd,, 1997, 158 p, B 1571;B 1571;;2018;don Millet;;;;
Audin (Pierre), Chroniques de Monts - 1900 - 2000, Tours, EFIL éd, 2004, 61p, B 1570;B 1570;;2018;don Millet;;;;
Audin (Pierre), Chroniques de Montlouis - 1900 - 2000, Tours, EFIL éd, 2000, 61p, B 1569;B 1569;;2018;don Millet;;;;
Annequin (Guy), Jean Fouquet, prince des enluminures, Genève, la Crémille éd, 1989, 123 p, B 1568;B 1568;;2018;don Millet;;;;
Bouguet (Dominique), Thibault (Michel), Archives départementales -  Répertoire numérique détaillédes sous-séries1Q et 2Q, Domaines nationaux ,Tours, CLD, 1993, 171 p., B 1567;B 1567;;2015;don Leveel;Indre-et-Loire;archives départementales;Azay-le-Rideau;
Loizeau de Grandmaison (Charles), Inventaire-sommaire des Archives départementales antérieures à 1790, 2ème partie, série G, Archives écclésiastiques - Clergé séculier, Tours, Arrault imp, 1882,réimp 1993, 325p., B 1566;B 1566;;2015;don Leveel;Indre-et-Loire;archives départementales;Azay-le-Rideau;
Loizeau de Grandmaison (Charles), Inventaire-sommaire des Archives départementales antérieures à 1790, 2ème partie, série H, Archives écclésiastiques - Clergé régulier, Tours, CLD, 1891,réimp 1994, 325p., B 1565;B 1565;;2015;don Leveel;Indre-et-Loire;archives départementales;Azay-le-Rideau;
Loizeau de Grandmaison (Charles), Inventaire-sommaire des Archives départementales antérieures à 1790. Indre-et-Loire. Tome premier. Archives civiles, série A-B-C-D-E, Indre et Loire, Paris, impr.Paul Dupont, 1878,réimp 1996, pagination multiples., B 1564;B 1564;;2015;don Leveel;Indre-et-Loire;archives départementales;Azay-le-Rideau;
Anquetil (Jacques), La soie en Occident, Tours, Mame éd, 1999, 200 p. B 1563;B 1563;;;don Moreau;;;;
[Anonyme], L'Indre-et-Loire, Paris, Richesse de France, n 65, 4ème trimestre 1965, 149 p., B ;B 1562;;2018;don Schweitz;Poitou;patrimoine;;
[Coll.], Fondettes, entre Loire et Gâtine, Chambray les Tours, CLD, 1994, 211 p, B 1561;B 1561;;2018;;;;;
Loire (Jacques), Vitraux, Louviers, HB impression, 2018, 171 p. B 1560;B 1560;;2018;don Loire;;;;
Gendron (Stéphane), Parole de Loire n°1, Toponymie de Montlouis  sur Loire, éd auteur, 1990, 53 p. B 1559;B 1559;;2018;don Moreau;;;;
Gendron (Stéphane), Les nom de lieux de la vallée de l'Indrois,  éd auteur, 1989, 144 p. B 1558;B 1558;;2018;don Moreau;;;;
Robert (Pierre), Les patronymes à Tours aux XVIIè et XVIIIè siècles, Tours, Centre généalogique de Touraine éd, 1992, 37 p, B 1557;B 1557;;2018;don Moreau;;;;
Gendron (Stéphane), Les nom de lieux du Lochois,  éd auteur, 1990, 179 p. ;B 1556;;2018;don Moreau;Touraine;toponymie;;
[Anonyme], Annuaire du département d'Indre-et-Loire pour l'an 1810,  Tours, Mame (photocopie), 252 p., B ;B 1555;;2018;don Leveel;Touraine;annuaire 1810;;
Chédaille (Jean), Tours : le tramway, Montreuil-Bellay, CMD, 1998, 108 p., B 1554;B 1554;;2017;don Leveel;Tours;;;
Marquet (Jean-Claude), La préhistoire en Touraine, Chambray, ed C.L.D., 1999, 318p, B 1553;B 1553;;2017;don Leveel;Touraine;;;
[Collectif], Louis de La Saussaye, Album blésois, dessins et aquarelles 1820-1830, Blois, CDPA, sd, n p, B;B 1552;;2017;don Leveel;Loir-et-Cher;;;
Boisnard (Luc), 1992, Dictionnaire des anciennes familles de Touraine, Mayenne Ed. régionales de l'Ouest, 1992, 449 p., B 1551;B 1551;;2017;;Touraine;familles;;
Morlet (Marie-Thérèse), Les noms de personne sur le territoire de l'ancienne Gaule, du VIe au XIIe siècle, vol. I : les noms issus du germanique continental et les créations gallo-germaniques, Paris, CNRS, 1968, 239 p., B;B 1550;;2017;don Leveel;histoire;noms de familles;;
Morlet (Marie-Thérèse), Les noms de personne sur le territoire de l'ancienne Gaule, du VIe au XIIe siècle, vol. II : les noms latins ou transmis par le latin, Paris, CNRS, 1972, 202 p., B;B 1549;;2017;don Leveel;histoire;noms de familles;;
[Anonyme], Le Poitou, in Sites et Monuments, Paris, L. Pochy, 1904, 100 p., B;B 1548;;2017;don Leveel;Poitou;identité;;
Bosseboeuf (Louis Augustin), Amboise, le château, la ville et le canton, Tours, L. Péricat, 1897, 614 p., B;B 1547;;2017;don Leveel;Touraine;Amboise;;
Secrétain (Roger) et ali., Orléans, Coll. Villes de France, Paris, Hachette, 1966, 110 p., B;B 1546;;2017;don Leveel;Orléans;;;
[Anonyme], Coup d'œil sur l'Indre, Chateauroux, 1963, éd. Jean Fouron, np. B;B 1545;;2017;don Leveel;Berry;;;
Zadora-Rio et al., Rigny-Ussé, Fouilles et prospections (1986-1991) - rapport préliminaire, Joué-lès-Tours, La Simarre, 1992, p. 76 à 166, B;B 1544;;2017;don Leveel;Touraine;;;
[Collectif],Saint-Savin-l'Abbaye et ses peintures murales,c.p.p.p.c,1999, 240 p.;B 1543;;2017;don Leveel;Poitou;;;
Toulier (Christine), Canton de Chinon (Indre-et-Loire), Images du Patrimoine, sl, 1990, 64 p., B 1542;B 1542;;2017;don Leveel;Touraine;Chinon;;
Brossard (Ch.), Le Poitou in Géographie pittoresque et monumentale de la France, Paris, Flammarion, 1901, 127 p, B 1541;B 1541;;2017;don Leveel;Poitou;;;
Côme (François), L'histoire de nos ancêtres de Jules Bracquemond et Berthe Parou à tous leurs ascendants (1950-1470), sl, sd, 336 p., annexes, B 1540;B 1540;;2017;don Leveel;Touraine;famille;;
Franchet-d'Espèrey (Dominique), Coudray-Montpensier : paroles d'archives 1930-1961, Pierre-Georges Latécoère, Seconde guerre mondiale : ouverture d'une maison d'enfants handicapés, Chinon 2007, 232 p, B 1539;B 1539;;2017;don Leveel;Touraine;Seuilly;;
Haywood (John), Les sources de la civilisation occidentale Proche-Orient, Egypte, Grèce   et Rome antique, Paris, France Loisirs éd, 1999, 304 p., B 1538;B 1538;;2018;don Pasquier;;;;
Gatian de Clérambault (E.), Tours qui disparaît, planche et texte, Tours, Péricat, 1912, s. l., Les Compagnons du Livre, 1979, 20 p., 210 pl., non reliées, B 1537;B 1537;;2013;don Chevalier;Tours;patrimoine;;
[Coll.], La médecine à Montpellier du XIIè eu Xxè siècle, Paris, éd Hervas, 1990, 525 p., B 1536;B 1536;;2018;don Moreau;;;;
Lorgeoux (Alain), Guilleux (Joseph), Le Mans : révolution dans la ville, Saint Jean d'Angély, Ed Bordessoules, 1991, 170 p., B 1535 ;B 1535;;2017;don Pasquier;;;;
[Coll.], 1914 - 1918 L'Anjou dans la grande guerre, Angers, Arch   départementales Maine et Loire, 2015, 307 p. B 1534;B 1534;;2017;don Pasquier;;;;
[Collectif], Hommage national à Michel Debré (1912-1996) à l'occasion du centenaire de sa naissance, Paris, Association des Amis de Michel Debré, 2012, 104 p., B 1533;B 1533;;2017;don Leveel;Touraine;biographie;;
Le Coz (Martine), Buschini (Georges), La Pierre et le Souffle, Tours, Farrago, 2004, 106 p., A;B 1532;;2017;don Leveel;???;châteaux;;
Labbé (Colonel ER Daniel) et al., Journal de marche de l'arme du train :   des histoires d'hommes, La voie sacrée - 1916 - Poumon de Verdun, Tours, Publication des écoles de la logistique et du train,  230 p., B;B 1531;;2017;don Leveel;Tours;armée;;
de Lavergne(Francine), Les émaux de Ligugé, Siloë éd.,1998,189 p.;B 1530;;2017;don Leveel;Poitou;;;
Chédaille (Jean), Tours : le train, Montreuil-Bellay, CMD, 1997, 134 p., B;B 1529;;2017;don Leveel;Tours;;;
[Collectif], Blois in Connaissance des Arts, sl,1980, 70 p., B;B 1528;;2017;don Leveel;Blois;;;
Rostain (E), et al., Le château de Oiron - Renaissance : la guerre de Troie retrouvée, Paris, Hachette, 1974, 96 p., B;B 1527;;2017;don Leveel;Poitou;Oiron;;
Cerdoni Biarardi (Anna, dir.), Sybille (Barbara, dir.), Jean-baptiste Nini, d'Urbino aux rives de la Loire, paysages et visages européens, Milan, Federico Motta Editore,  2001, 304 p., B 1526;B 1526;;2017;don Leveel;Loire;;;
[Collectif],  (Les archivistes en chef des départements), Les préfectures françaises, Niort, 1953, 314 p., B 1525;B 1525;;2017;don Leveel;Histoire;;;
Pietri (Luce), Biarne (Jacques), Topographie chrétienne des cités de la Gaule des origines au milieu du VIIIe siècle - V : provinces ecclésiastiques de Tours (Lugdunensis tertia), Paris, De Boccard, 1987, 104 p., B 1524;B 1524;;2017;don Leveel;Tours;religion HMA;;
Baudry (Marie-Pierre), Cavaillès (Maria), Le château et les fortifications de Parthenay, ville de Pathenay, 2005, 136 p., B 1523;B 1523;;2017;don Leveel;Poitou;;;
Guillaume (Jean), Le château de Bonnivet, entre Blois et Chambord, le chaînon manquant de la première Renaissance, Paris, Picard, 2006, 160 p., B; B 1522;;2017;don Leveel;Loir-et-Cher;;;
Froger (J. P.), Amboise et sa région entre Révolution et Contre-Révolution (1789-1800), Amboise, Pinçon, 1984, 344 p., B 1521;B 1521;;2017;don Leveel;Touraine;Amboise;;
Collectif, Chinon, le destin d'une forteresse, Les Amis du Vieux Chinon, Hors série 2011, 110 p., B 1520;B 1520;;2017;don Leveel;Touraine;Chinon;;
Collectif, Le Destin d'une héroïne, Chinon, Les Amis du Vieux Chinon, Hors série 2012, 106 p., B 1519;B 1519;;2017;don Leveel;Touraine;Chinonais;;
Lainé (Martine) et al., L'Ile-Bouchard et la vallée de la Vienne (Images du Patrimoine - 238, éd. Lieux dits, 2006, 128 p., B 1518;B 1518;;2017;don Leveel;Touraine;L'ïle-Bouchard;;
Etienne (Gilles), Faye la Vineuse : Présent - Passé - Futur, CG Indre-et-Loire, 2000, 180 p., B 1517;B 1517;;2017;don Leveel;Touraine;Faye-la-Vineuse;;
Goupil de Bouillé (Jean), La Touraine angevine, Château-la-Vallière, 1983, 341 p., B 1516;B 1516;;2017;don Leveel;Touraine;angevine;;
Vivier (Jack), Le lycée Descartes pendant les années noires (1939-1945), Joué-lès-Tours, La Simarre, 2006, 108 p., B 1515;B 1515;;2017;don Leveel;Tours;;;
[Collectif], Les mouvements celtiques du Ve au Ier siècle avant notre ère, Paris, éditions du centre national de la recherche scientifique, 1979, 238p., B 1514;B 1514;;2017;don Leveel;histoire;;;
Mussat (André), Le style gothique de l'ouest de la France (XIIe-XIIIe siècles), Paris, Picard, 1963, 446 p., B 1513;B 1513;;2017;don Leveel;Touraine;architecture MA;;
Wuilleumier (Pierre), Inscriptions latines des Trois Gaules, Paris, CNRS, 1963, 258 p, B;B 1512;;2017;don Leveel;archéologie;inscriptions GR;;
[Coll.],  Cahiers de la Loire Moyenne n° 10-11 - Regards sur l'agglomération tourangelle, Tours, Institut de géographie et C.E.S.A. de Tours, 1979-1980, 166 p., B 1511;B 1511;;2017;don Leveel;tours;géographie;;
Boussard (Jacques), Carte archéologique de la Gaule romaine : carte et texte du département d'Indre-et-Loire, Paris, Centre national de la recherche scientifique, 1960, XVI-140 p., pl. h.-t., B 1510;B 1510;;2017;don Leveel;Touraine;;;
[Collectif], Le département de la Vienne, Bordeaux, Delmas éd., 1952,191 p., B 1509;B 1509;;2017;don Leveel;Poitou;;;
Guillaume (Jean, dir.), Demeures d'éternité  : églises et chapelles funéraires aux XVe et XVIe siècles, Paris, éd. Picard, 2005, 288 p., B 1508;B 1508;;2017;don Leveel;Touraine;église;;
Levantal (Christophe), Ducs et pairs et duchés-pairies laïques à l'époque moderne (1519-1790), Paris, éd. Maisonneuve et Larose, 1996, 1218 p., B 1507;B 1507;;2017;don Leveel;histoire;noblesse;;
[Coll.], L'Atlas des villes et villages fortifiés en France (Moyen Age), Strasbourg, éd. Publitotal, 1978, 495 p., B 1506;B 1506;;2017;don Leveel;archéologie;fortications;;
[Anonyme], Album Boylesve, Tours, Bibliothèque municipale, 1991, 110 p., B 1505;B 1505;;2017;don Leveel;Touraine;biographie;;
Moreau (Véronique, dir.), Chanteloup : un moment de grâce autour du duc de Choiseul, Tours, Somogy, 2007, 376 p., B 1504;B 1504;;2017;don Leveel;Touraine;Amboise;;
Delage (Claude), Monnaie en Touraine, une histoire nationale, La Crèche, édition La Geste, 2018, 543 p., B 1503;B 1503;;2018;don Delage;;;;
Chiambaretta (Philippe), Tours architecture, deux projets, Saumur, édition Monogafik, 2007, 31p, B 1502;B 1502;;2018;don G. Pasquier;;;;
Favard (Nina), Couderc (Jean-Mary), Pontlevoy. Un village de France 1902-1936. Louis Clergeau photographe, Paris, éd. de La Martinière, 1996, 143 p.   B 1501;B 1501;;2018;achat 08/2018;;;;
"Galinié (Henri), Husi (Philippe), Motteau (James) et al., Des thermes de l'Est de Cæsarodunum au Château de Tours. Le site 3 , Tours, FERACF, 2014, 179 p. 50e Supplément à la Revue archéologique du Centre de la France, B 1500

";B 1500;;2018;achat 08/2018;;;;
Ferrand (Gérard), Lagrange (Abel), Coutumes et traditions du Vendômois, Orléans, CRDP, 1980, 173 p., ronéo, B 1499;B 1499;;2018;achat 08/2018;;;;
Clément (Bernard), La vallée de la Vienne, de Millevaches à Candes-Saint-Martin, La Crèche, Geste éd., 2004, 111 p., B 1498;B 1498;;2018;achat 08/2018;;;;
Chandrin (E), Dumont ®, Larousse agricole, encyclopédie illustrée, Librairie Larousse, Paris, 1921, 2 tomes - Tome 1, 852 p., Tome 2 832 p. B 1497 1-2;B 1497 1-2;;2018;don M. Rapoport;Dictionnaire Fançais;Larousse;;
Mittmann (Elke), L'architecture du quotidien, 10 ans de création en région Centre-Val de Loire (2006-2016),Orléans, Maison de l'architecture ed,, 2018,  144p, B 1496;B 1496;;2018;;;;;
Cimarelli (Aldo G.), Armes blanches et armes défensives, Paris, Granges Batelière1973, 111 p.;B 1495;;2018;;;;;
[collectif], Lésigny patrimoine religieux, Lésigny, éd Mairie Lésigny, 2017, 87 p. B ;B 1494;;2018;;;;;
Bastard (Laurent), Compagnons au fil de la Loire, Paris, Jean-Cyrille Godefroy, 2000, 160 p., B;B 1493;;2018;don Mme Lacoua;;;;
